answers_reputation,answers_vote,link
"53235,63,1,29","21,2,0,0",https://stackoverflow.com/questions/33240409/how-to-submit-checkboxes-from-all-pages-with-jquery-datatables
"8588,3540,1347,1775,66","48,5,3,2,2",https://stackoverflow.com/questions/19155192/jquery-ajax-call-to-php-script-with-json-return
2189,6,https://stackoverflow.com/questions/11570713/how-to-receive-json-object-in-php
"45066,10075,293","7,7,2",https://stackoverflow.com/questions/3789881/create-and-call-python-function-from-string-via-c-api
"43568,0,162771,166,16517,97","8,3,2,1,0,0",https://stackoverflow.com/questions/11138929/calling-c-functions-inside-javascript
"820634,36481,1470,42672","38,29,19,2",https://stackoverflow.com/questions/5107694/how-do-i-add-a-reference-to-an-unmanaged-c-project-called-by-a-c-sharp-project
"43457,46349,396947,12404,8109,23536,1158","94,10,9,5,2,2,2",https://stackoverflow.com/questions/935664/possible-to-call-c-code-from-c
"1660,9488,4461,4718","64,10,4,2",https://stackoverflow.com/questions/16647186/calling-c-functions-in-python
5051,7,https://stackoverflow.com/questions/56466822/can-c-be-called-from-c-sharp-compiled-to-wasm
"0,321180,12372","46,39,5",https://stackoverflow.com/questions/2532907/combining-c-and-c-sharp
"749,7356","6,0",https://stackoverflow.com/questions/15822788/how-to-call-a-c-api-from-c-sharp
"29163,7066,58334,70516","57,9,4,4",https://stackoverflow.com/questions/2211867/how-do-i-call-c-cli-from-c
"36788,4233,61,362,771,311","51,23,6,3,1,1",https://stackoverflow.com/questions/12738827/how-can-i-call-scikit-learn-classifiers-from-java
"743,0,95","5,1,1",https://stackoverflow.com/questions/29165155/calling-javascript-from-c-with-node-js
"994,257883,621,31,6805","8,2,1,1,0",https://stackoverflow.com/questions/2261347/amqp-c-implementation
"87367,3900,63932","2,2,2",https://stackoverflow.com/questions/30686330/running-c-sharp-code-from-c-application-android-ndk-for-free
"1552,2584,707,154,4974,2546,6831,33313,2240,17,3","65,16,5,4,3,2,1,1,0,2,4",https://stackoverflow.com/questions/8599595/send-json-data-from-javascript-to-php
"17807,99550,333,795321,53442","7,6,5,1,0",https://stackoverflow.com/questions/3146017/how-do-i-share-a-constant-between-c-sharp-and-c-code
"6943,2324,3833,520","8,2,1,0",https://stackoverflow.com/questions/5965655/communication-between-php-and-python
"6050,15342","6,5",https://stackoverflow.com/questions/35462175/call-python-function-from-c-sharp-net
"14236,3108,10894,275,482225,202767,534,193","49,33,23,5,4,1,1,1",https://stackoverflow.com/questions/5549562/running-php-script-php-function-in-linux-bash
722,1,https://stackoverflow.com/questions/46812185/call-c-net-core-method-from-c
91,2,https://stackoverflow.com/questions/44954565/wordpress-vue-js-contact-forms
"4329,6819","1,0",https://stackoverflow.com/questions/15499746/multi-language-integration-testing-framework
"85294,3305,2129,4776,9827,31,68130","24,6,4,3,3,3,2",https://stackoverflow.com/questions/8638984/send-post-data-to-php-without-using-an-html-form
"10500,1655,6326,408,8138","12,0,0,0,0",https://stackoverflow.com/questions/1792643/how-do-i-change-the-shell-for-phps-exec
,,https://stackoverflow.com/questions/12292425/google-native-client-sending-binary-data-from-nacl-to-the-frontend
"608753,0,112","76,3,1",https://stackoverflow.com/questions/31035467/for-a-push-notification-is-a-websocket-mandatory
"5978,519,9038","28,6,2",https://stackoverflow.com/questions/13231913/how-do-i-call-a-specific-method-from-a-python-script-in-c
"1971,1695,286,307","60,26,17,15",https://stackoverflow.com/questions/42601478/flask-calling-python-function-on-button-onclick-event
"936,1379","4,3",https://stackoverflow.com/questions/32804020/create-a-shell-script-to-run-a-java-program-on-linux
508,15,https://stackoverflow.com/questions/23949395/how-to-pass-a-javascript-array-to-a-python-script-using-flask-using-flask-examp
"51420,336150","14,0",https://stackoverflow.com/questions/11700501/python-cython-c-and-callbacks-calling-a-python-function-from-c-using-cython
"10643,251,11050,1159","3,3,2,0",https://stackoverflow.com/questions/14184993/communication-between-c-and-c-sharp-application-through-network
"16846,127503,2799,0","14,5,4,3",https://stackoverflow.com/questions/6619931/how-should-an-array-be-passed-to-a-javascript-function-from-c
"1474,39194,361196,6683,14452","29,24,10,5,3",https://stackoverflow.com/questions/11741574/how-to-print-utf-8-encoded-text-to-the-console-in-python-3
"247,225730,4958,140006,153933","12,3,3,1,0",https://stackoverflow.com/questions/9623593/pass-javascript-variable-to-php-code
"55808,55618,1,12471","7,6,5,5",https://stackoverflow.com/questions/38678239/execute-google-chart-api-javascript-in-php-file
40119,17,https://stackoverflow.com/questions/26855631/javascript-to-django-views-py
"402,12460","1,1",https://stackoverflow.com/questions/33959189/how-to-locally-call-a-javascript-function-from-php-on-raspberry-pi
"120737,31580","6,0",https://stackoverflow.com/questions/36853411/using-javascript-to-call-c-in-internet-explorer
0,3,https://stackoverflow.com/questions/46750959/how-to-write-event-handlers-and-detect-certain-javascript-calls-using-htmlunit
"361196,16719","39,1",https://stackoverflow.com/questions/23611396/python-execute-cat-subprocess-in-parallel
"134313,40482,21637","10,8,1",https://stackoverflow.com/questions/23750661/send-json-object-from-javascript-to-php
431,23,https://stackoverflow.com/questions/49070403/how-to-retrieve-variables-in-php-sent-by-axios-post-request
"556128,2148,3127,2144,4597,75","11,7,3,2,0,0",https://stackoverflow.com/questions/34591729/how-to-execute-code-in-the-django-shell-by-an-external-python-script
"19555,117","12,2",https://stackoverflow.com/questions/25383624/communication-between-c-and-python
105,0,https://stackoverflow.com/questions/48082043/calling-c-sharp-code-within-python3-6
428589,12,https://stackoverflow.com/questions/28289699/python-web-scraping-for-javascript-generated-content
,,https://stackoverflow.com/questions/28905849/limiting-memory-usage-of-a-java-rhino-nashorn-object
"783,23760,858,2413,3890,13565,109,1127","13,4,4,3,2,0,0,0",https://stackoverflow.com/questions/8644289/adding-values-from-c-sharp-to-div-via-javascript
60428,8,https://stackoverflow.com/questions/36340948/how-can-i-get-data-from-a-websocket-url
"4421,4421,2249,790","6,2,2,1",https://stackoverflow.com/questions/23157685/send-data-to-a-generic-handler-that-accepts-json-data-using-c-sharp
"64346,141293,0,2064,1,499","5,2,0,0,0,0",https://stackoverflow.com/questions/4407843/sending-password-to-command-line-tools
"109297,42951,820","5,3,2",https://stackoverflow.com/questions/1733082/implement-a-comet-server-in-c-sharp
"65693,32070","12,3",https://stackoverflow.com/questions/50731650/is-it-possible-to-run-webassembly-code-async
63216,3,https://stackoverflow.com/questions/11834078/how-to-convert-zval-to-vector-for-php-extension
"191,254,2518,158,745,1","5,3,0,0,0,0",https://stackoverflow.com/questions/42939357/communication-between-python-and-c-sharp
5375,6,https://stackoverflow.com/questions/34662448/net-c-interop-to-python
"10597,1479,546","1,1,0",https://stackoverflow.com/questions/34235763/execute-python-script-from-android-app-in-java
"656,14309","9,2",https://stackoverflow.com/questions/4624507/building-64-bit-c-python-extensions-on-windows
30081,4,https://stackoverflow.com/questions/33310675/pass-file-into-function-from-python-ctypes
"538,1167,449","2,0,0",https://stackoverflow.com/questions/22730210/send-log-errors-to-a-file
"84138,10488,48052,27","11,3,1,0",https://stackoverflow.com/questions/2408771/how-to-get-selected-value-from-dropdownlist-in-asp-net-using-javascript
1152,4,https://stackoverflow.com/questions/42527598/call-c-class-methods-or-function-from-java-on-android-without-recreating-class
"488,136,319,4554,3263,1,377","26,4,1,0,0,0,0",https://stackoverflow.com/questions/7229027/how-to-get-data-to-javascript-from-php-using-json-encode
"366613,54966,10925","23,4,1",https://stackoverflow.com/questions/7691599/execute-python-script-with-function-from-command-line-linux
"58231,0,4386,32921","19,7,5,4",https://stackoverflow.com/questions/3774108/python-vs-lua-for-embedded-scripting-text-processing-engine
14291,15,https://stackoverflow.com/questions/18879056/submit-button-that-calls-js-function-and-then-posts-to-mysql
"64430,71,748,31,185,615,372,151","43,7,4,1,0,0,0,0",https://stackoverflow.com/questions/10134963/prevent-page-scrolling-after-postback-and-maintain-position
"720,2492","2,1",https://stackoverflow.com/questions/24484406/i-have-a-header-jsp-whose-style-keeps-changing-for-different-logins-its-a-dynami
28747,11,https://stackoverflow.com/questions/24745355/spa-firebase-and-net-webapi-2-authentication
14990,8,https://stackoverflow.com/questions/12717084/creating-custom-php-syntax-parser
1314,2,https://stackoverflow.com/questions/51663749/how-to-choose-solutions-for-secure-messaging-front-end-and-hipaa-compliant-datab
"7188,406,2025,1589","2,2,1,0",https://stackoverflow.com/questions/1071377/how-to-capture-a-website-api-traffic-data-with-google-analytics
3055,18,https://stackoverflow.com/questions/30899484/python-flask-calling-functions-using-buttons
"0,0,0,0,0,0,0,0","2,2,1,0,0,0,1,1",https://stackoverflow.com/questions/1072920/user-friendly-framework-for-personal-website
"44973,720857,4117,11448,177189","9,2,2,1,0",https://stackoverflow.com/questions/4276205/do-i-need-node-js-in-python-like-i-would-with-php
"1729,1823,2986","42,4,3",https://stackoverflow.com/questions/15074566/open-source-alternative-to-addthis-addtoany-sharethis-etcfor-social-bookmarking
"7038,3491,6983,20085,5165,4646,735,1","14,9,2,0,0,0,1,2",https://stackoverflow.com/questions/5610333/how-to-query-database-using-javascript
"13659,1069,8453","58,36,12",https://stackoverflow.com/questions/4746249/get-user-timezone
"13756,12893,1409,12714,742,0,17005,9032","3,2,1,1,0,0,0,1",https://stackoverflow.com/questions/6544416/php-vs-c-cgi-for-small-web-service
1194,4,https://stackoverflow.com/questions/32916803/angular-js-and-symfony2
"3904,2011,2056","15,3,3",https://stackoverflow.com/questions/8866738/speed-of-php-vs-javascript
"12148,591,5395","2,1,0",https://stackoverflow.com/questions/8379314/alternative-to-java-spring-based-webservices
"2200,0,0,64","38,4,1,1",https://stackoverflow.com/questions/22084698/how-to-export-source-content-within-div-to-text-html-file
63901,3,https://stackoverflow.com/questions/8546061/best-way-to-secure-javascript-front-end-rest-back-end-architecture-web-site
"36438,66723,1203,2874","5,3,1,0",https://stackoverflow.com/questions/2774074/best-practice-user-generated-html-cleaning
"3482,1853","11,4",https://stackoverflow.com/questions/29949338/encryption-between-desktop-app-and-server-c-sharp-to-php
"246068,161,141176,176186,56,88","20,13,10,1,0,9",https://stackoverflow.com/questions/93911/how-can-you-run-javascript-using-rhino-for-java-in-a-sandbox
